gn,gender
VICENCO,M
VICKO,M
VICTORIA,F
VID,M
VIDA,F
VIDVAN,M
VIGO,M
VIGOR,M
VIKTOR,M
VIKTORIA,F
VIKTORIJA,F
VILI,M
VILIAMS,M
VILIM,M
VILMA,F
VINCEK,M
VINKA,F
VINKO,M
VIRNA,F
VITA,F
VITO,M
VITOMIR,M
VITTORIO,M
VIVIEN,F
VIŠESLAV,M
VIŠNJA,F
VJEKO,M
VJEKOSLAV,M
VJEKOSLAVA,F
VJENCESLAV,M
VJERA,F
VJERAN,M
VLADANA,F
VLADE,M
VLADIMIR,M
VLADIMIRA,F
VLADISLAV,M
VLADO,M
VLAHO,M
VLATKA,F
VLATKO,M
VOJISLAV,M
VOJKO,M
VUCO,M
VUKADIN,M
WANDA,F
WILL,M
WILLIAM,M
YOUSEF,M
ZARA,F
ZDENKA,F
ZDENKO,M
ZDESLAV,M
ZDRAVKO,M
ZITA,F
ZLATA,F
ZLATAN,M
ZLATKA,F
ZLATKO,M
ZOE,F
ZOFIA,F
ZOJA,F
ZORA,F
ZORAN,M
ZORANA,F
ZORICA,F
ZORKA,F
ZRINA,F
ZRINKA,F
ZRINKO,M
ZVJEZDANA,F
ZVONIMIR,M
ZVONIMIRA,F
ZVONKO,M
ZVONČICA,F
ĐANA,F
ĐANI,M
ĐENIFER,F
ĐINO,M
ĐIVO,M
ĐORĐE,M
ĐUKA,M
ĐURO,M
ĐURĐICA,F
ŠIME,M
ŠIMUN,M
ŠPIRO,M
ŠTEFANIJA,F
ŠTEFICA,F
ŽAD,M
ŽAKLINA,F
ŽAN,M
ŽANA,F
ŽANET,F
ŽANKARLO,M
ŽARKO,M
ŽELJANA,F
ŽELJKA,F
ŽELJKICA,F
ŽELJKO,M
ŽUJO,M
