ccode,week,caseRate,deathRate
SVK,2021-22,64.5306330872851,22.3530302005928
SVK,2021-23,46.5932424591045,17.0396049889765
SVK,2021-24,29.993369211779,14.4745031626789
SVK,2021-25,19.2199415413294,11.7261797773602
SVK,2021-26,12.5506767929558,2.19865870825503
SVK,2021-27,9.93060849895188,2.19865870825503
SVK,2021-28,10.3520180847008,3.11476650336129
SVK,2021-29,11.6528911537517,2.19865870825503
SVK,2021-30,15.6287989845128,1.83221559021252
SVK,2021-31,18.578666084755,1.64899403119127
SVK,2021-32,21.6384661204099,0.916107795106262
SVK,2021-33,27.9596099066431,0.73288623608501
SVK,2021-34,36.3145129980122,0.366443118042505
SVK,2021-35,64.0176127220256,0.916107795106262
SVK,2021-36,117.261797773602,2.56510182629753
SVK,2021-37,190.165656108158,5.13020365259507
SVK,2021-38,267.356898923812,8.06174859693511
SVK,2021-39,347.186532189371,20.1543714923378
SVK,2021-40,439.896641054125,26.7503476171029
SVK,2021-41,548.821857892259,31.8805512696979
SVK,2021-42,808.776605831612,33.5295453008892
SVK,2021-43,1175.54952268036,38.8429705125055
SVK,2021-44,1671.97001469254,69.4409708690547
SVK,2021-45,2135.31901530138,104.069845524071
SVK,2021-46,2469.66171620336,122.94166610326
SVK,2021-47,2761.02063935896,141.813486682449
SVK,2021-48,2762.37647889572,186.702768642656
SVK,2021-49,2289.00525900841,201.177271805335
SVK,2021-50,1615.28126433136,206.124253898909
SVK,2021-51,1098.65143435914,172.59470859802
SVK,2021-52,873.893547907766,120.743007395005
SVN,2021-01,1164.81961351445,214.708895294106
SVN,2021-02,1126.55371706425,187.035304345088
SVN,2021-03,880.115618354462,180.355472047049
SVN,2021-04,827.440369375641,160.315975152932
SVN,2021-05,751.051715738782,127.39394454117
SVN,2021-06,611.347794534084,99.2432227137201
SVN,2021-07,523.412573639187,62.5041450745064
SVN,2021-08,509.623491252521,51.0530039921541
SVN,2021-09,514.967357090952,49.62161135686
SVN,2021-10,488.772871865071,40.0789937882331
SVN,2021-11,509.194073461933,45.3274334509779
SVN,2021-12,594.123369822713,48.190218721566
SVN,2021-13,673.899652696434,53.9157892627421
SVN,2021-14,660.492275012513,49.62161135686
SVN,2021-15,567.642606069773,42.4646481803898
SVN,2021-16,494.737007845463,47.7130878431346
SVN,2021-17,454.467161705857,50.5758731137227
SVN,2021-18,427.4138408988,39.1247320313704
SVN,2021-19,356.559905451745,28.1507218274494
SVN,2021-20,264.425932826652,23.379413043136
SVN,2021-21,205.357130076852,17.1767116235285
SVN,2021-22,174.868466945088,14.3139263529404
SVN,2021-23,130.876999953718,16.2224498666658
SVN,2021-24,74.6709824745057,13.836795474509
SVN,2021-25,37.3593477811744,7.1569631764702
SVN,2021-26,20.4212015968616,3.33991614901942
SVN,2021-27,26.8624684556848,3.81704702745077
SVN,2021-28,36.4050860243117,3.33991614901942
SVN,2021-29,40.5561246666644,0.477130878431346
SVN,2021-30,52.6752489788206,0.954261756862693
